date,pm25,retail,electricity,temperature,phase
2018-09-23,123.14285714285714,55.42910283608207,101.57142857142857,26.467142857142857,pre_covid
2018-09-30,131.42857142857142,58.80892617974561,87.8,25.672857142857143,pre_covid
2018-10-07,191.42857142857144,67.59646687327083,92.37142857142858,25.60571428571429,pre_covid
2018-10-14,224.0,66.92050220453811,84.9,23.927142857142854,pre_covid
2018-10-21,291.57142857142856,63.54067886087457,74.77142857142857,23.434285714285718,pre_covid
2018-10-28,323.1428571428572,65.5685728670727,71.32857142857142,22.04,pre_covid
2018-11-04,342.85714285714283,59.48489084847832,69.8,22.37857142857143,pre_covid
2018-11-11,380.57142857142856,56.105067504814784,57.25714285714286,19.04714285714286,pre_covid
2018-11-18,314.2857142857143,58.80892617974561,60.785714285714285,20.08428571428572,pre_covid
2018-11-25,314.1428571428572,57.4569968422802,60.628571428571426,18.612857142857145,pre_covid
2018-12-02,331.0,54.07717349861666,61.214285714285715,18.427142857142854,pre_covid
2018-12-09,347.57142857142856,60.16085551721103,62.471428571428575,16.157142857142855,pre_covid
2018-12-16,313.42857142857144,58.13296151101291,63.057142857142864,14.357142857142858,pre_covid
2018-12-23,384.8571428571428,57.4569968422802,65.9857142857143,12.191428571428572,pre_covid
2018-12-30,404.57142857142856,52.72524416115124,67.88571428571429,10.661428571428573,pre_covid
2019-01-06,402.2857142857143,52.72524416115124,68.98571428571428,12.15,pre_covid
2019-01-13,348.7142857142857,50.69735015495312,69.47142857142856,13.38,pre_covid
2019-01-20,353.42857142857144,56.78103217354749,70.04285714285713,13.41,pre_covid
2019-01-27,231.28571428571428,53.40120882988395,67.37142857142858,12.781428571428572,pre_covid
2019-02-03,308.0,47.993491480022286,70.75714285714285,11.838571428571427,pre_covid
2019-02-10,253.7142857142857,45.96559747382416,67.88571428571429,14.618571428571428,pre_covid
2019-02-17,300.1428571428572,45.28963280509145,66.05714285714285,15.635714285714286,pre_covid
2019-02-24,197.14285714285717,45.28963280509145,63.62857142857143,17.607142857142858,pre_covid
2019-03-03,166.0,47.993491480022286,63.75714285714286,15.744285714285713,pre_covid
2019-03-10,188.7142857142857,48.66945614875499,62.02857142857143,18.3,pre_covid
2019-03-17,178.57142857142858,48.66945614875499,61.042857142857144,19.85142857142857,pre_covid
2019-03-24,175.57142857142858,47.317526811289575,57.14285714285713,22.95285714285714,pre_covid
2019-03-31,192.8571428571429,45.28963280509145,67.72857142857143,26.262857142857143,pre_covid
2019-04-07,231.7142857142857,47.3509257100669,79.81428571428572,29.345714285714283,pre_covid
2019-04-14,201.14285714285717,45.13135106740752,89.74285714285715,31.44,pre_covid
2019-04-21,157.71428571428572,44.39149285318772,81.08571428571429,27.702857142857145,pre_covid
2019-04-28,241.42857142857144,48.83064213850649,102.9857142857143,33.364285714285714,pre_covid
2019-05-05,234.57142857142856,51.79007499538567,107.14285714285712,33.478571428571435,pre_covid
2019-05-12,301.2857142857143,53.26979142382527,110.94285714285715,34.720000000000006,pre_covid
2019-05-19,200.42857142857144,47.3509257100669,100.0142857142857,32.69285714285714,pre_covid
2019-05-26,166.14285714285714,49.57050035272629,108.10000000000001,34.07142857142857,pre_covid
2019-06-02,212.14285714285717,51.05021678116588,124.70000000000002,37.82857142857143,pre_covid
2019-06-09,203.0,47.3509257100669,130.7,38.355714285714285,pre_covid
2019-06-16,213.57142857142856,48.0907839242867,132.9142857142857,38.771428571428565,pre_covid
2019-06-23,153.42857142857142,48.83064213850649,113.52857142857144,35.431428571428576,pre_covid
2019-06-30,178.14285714285714,48.0907839242867,132.25714285714284,37.53714285714285,pre_covid
2019-07-07,132.14285714285714,45.13135106740752,135.0142857142857,36.77285714285714,pre_covid
2019-07-14,214.28571428571428,51.79007499538567,117.72142857142856,35.04,pre_covid
2019-07-21,113.71428571428572,51.05021678116588,106.2857142857143,32.261428571428574,pre_covid
2019-07-28,101.14285714285714,53.26979142382527,114.3,31.49714285714285,pre_covid
2019-08-04,82.0,51.05021678116588,115.58571428571429,30.35,pre_covid
2019-08-11,76.71428571428571,53.26979142382527,125.02857142857142,30.342857142857145,pre_covid
2019-08-18,59.285714285714285,50.310358566946086,105.9857142857143,29.624285714285715,pre_covid
2019-08-25,111.0,51.05021678116588,111.05714285714286,29.585714285714285,pre_covid
2019-09-01,100.28571428571428,53.26979142382527,124.3142857142857,30.794285714285717,pre_covid
2019-09-08,107.71428571428572,56.22922428070445,125.4857142857143,30.75142857142857,pre_covid
2019-09-15,113.42857142857144,54.749507852264856,128.8,31.135714285714283,pre_covid
2019-09-22,98.14285714285714,58.44879892336383,114.3,29.81142857142857,pre_covid
