date,electricity
2024-01-21,91.72857142857143
2024-01-28,86.51428571428572
2024-02-04,84.1857142857143
2024-02-11,78.41428571428571
2024-02-18,73.28571428571429
2024-02-25,71.42857142857143
2024-03-03,70.54285714285714
2024-03-10,67.61428571428571
2024-03-17,69.21428571428571
2024-03-24,72.02857142857142
2024-03-31,76.38571428571429
2024-04-07,76.925
2024-04-14,81.99107142857143
2024-04-21,87.7625
2024-04-28,91.48571428571428
2024-05-05,103.78571428571429
2024-05-12,123.57142857142858
2024-05-19,134.50000000000003
2024-05-26,153.84285714285716
2024-06-02,158.78571428571425
2024-06-09,149.2
2024-06-16,157.55714285714285
2024-06-23,158.85714285714283
2024-06-30,142.27142857142857
2024-07-07,131.9142857142857
2024-07-14,132.24285714285716
2024-07-21,148.24285714285716
2024-07-28,144.7
2024-08-04,143.84285714285713
2024-08-11,127.9857142857143
2024-08-18,124.92857142857143
2024-08-25,128.91428571428574
2024-09-01,125.51428571428573
2024-09-08,122.05714285714286
2024-09-15,110.52857142857144
2024-09-22,110.88571428571429
2024-09-29,129.1142857142857
